Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2014-01-10,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacting Crops in Southern Brazil,Argentine Farmers Hold their Grain amid Economic Turmoil,Vale Indicates a Desire to sell its Potassium Mine in Argentina,Brazilian Farmers Undecided about Safrinha Corn Acreage,Reaction to Last Week's USDA Reports,?,?,?,?,"4,26",0,0
2014-02-10,Winter Wheat May Replace some Safrinha Corn in Parana,Safrinha Soybeans Increase Nematode Populations,Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Adverse Weather takes Toll on Crops in Eastern/Southern Brazil,POET May Build Four Corn-Based Ethanol Plants in M.T. do Sul,?,?,?,?,?,"4,32",1,1
2014-03-10,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Program Encourages Grain Storage Expansion in Brazil,Grain Companies Propose Three New Railroads for Mato Grosso,Corn Earworm Damage in Bahia less than Feared,Brazilian Ranchers Combining Cattle and Row Crops for Profit,Wheat Production May Move into Central Brazil,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,Drought Lowers Prospects for Brazil's Sugarcane Production,"4,58",1,1
2014-04-09,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,U.S. Corn Planting Remains Behind the Average Pace,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,When Would Corn Planting in the U.S. be Considered Late?,Exporting Grain in Containers an Emerging Trend in Brazil,Corn Planting Progress Remains Slow in the U.S.,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,"4,91",1,1
2014-05-09,El Nino could Favor Soybean and Corn Production in Brazil,First Rating Indicates the U.S. Corn is in Very Good Condition,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Brazilian Gov. Supplying Low Interest Loans for new Grain Silos,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"5,05",1,1
2014-06-11,Sunflowers can offer Alternative to Safrinha Corn in Mato Grosso,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Producers in Brazil want Government help in Marketing their Corn,Economic Uncertainty in Argentina make Farmers slow Sellers,Corn-Based Ethanol Possible in Mato Grosso - at least on Paper,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,Heavy Rains Pound NW Corn Belt resulting in Localized Flooding,"4,7",0,-1
2014-07-11,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,Pepro Corn Program in Brazil set to Start by mid-August,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Brazilian Scientists Worry Bt Corn Losing its Effectiveness,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"4,28",0,-1
2014-08-12,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans,Farmers in Parana Brazil Opt for More Soybean Production,Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel,Safrinha Corn Harvest Completed in Mato Grosso,Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs,Cost of Production Estimates for 2013/14 Growing Season in Brazil,SDS and Cloudy Weather Potential Impact on Soybean Production,Farmers in Northern Parana switching Full-season Corn to Soybeans,Sugarcane Production Estimates in Brazil Continue to Move Lower,Second Pepro Corn Auction in Brazil Scheduled for August 28th,"3,63",0,-1
2014-09-11,Wet Weather Increases Concerns for Wheat in Southern Brazil,Brazil's Poultry Exports Increased by Larger Volumes to Russia,Lack of Grain Storage Chronic Problem in Brazil,Brazilian Wheat Producers are Pessimistic about Price and Quality,Wet Weather Increases Disease Pressure in Brazilian Wheat,Low Prices Convince Brazilians to Hold Onto Their Corn,Ground Breaking for First Corn-Based Ethanol Plant in Brazil,Hurdles Are High for Corn-Based Ethanol Production in Brazil,Taxes on Wheat Reduced in Rio Grande do Sul to Stimulate Sales,Brazil Gov. Subsidizing Price of Corn Cotton Wheat Oranges,"3,58",0,-1
2014-10-10,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso,Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase,Sorghum Silage offers Alternative to Corn in Southern Brazil,Corn Earworm Already Detected from North to South in Brazil,Argentine Soybean and Corn Acreage is Point of Disagreement,Corn-Based Ethanol on the Increase in the Center-West of Brazil,Silo Bags Fill Void of Inadequate Grain Storage in Brazil,Imports Account for 75% of Fertilizer Sales in Brazil,?,?,"3,32",0,-1
2014-11-10,Argentine Farmers may be Denied Credit due to Lack of Soy Sales,Agricultural Equipment Sales in Brazil down 16%,Farmers in Parana Wrapping up Corn and Soybean Planting,Mato Grosso do Sul has Storage for only 60% of its Grain Production,Low Prices and high Costs Lowers Enthusiasm for Safrinha Corn,Argentine Farmers continue to be Slow Sellers of their Grain,Soy Forward Sales Increasing in Mato Grosso still Lag Last Year,Only 13.6% of Brazil's Grain Storage Capacity is Located On-Farm,Brazilian Gov. Promoting more Corn-Based Ethanol Production,Brazil's Safrinha Corn Acreage to Decline due to Delayed Planting,"3,61",1,1
2014-12-10,2014/15 Corn Harvest Underway in Rio Grande do Sul in Brazil,Brazilian Scientists feel Safrinha Soybean Production Unstainable,Soybeans Increase their Dominance of First Crop Planting in Brazil,"""Grains North"" receives funding from Brazil's Development Bank",Cotton Acreage to decline 12% in Mato Grosso,After a Slow Start Farmers in Western Parana Pleased with Crops,Ranchers in Mato Grosso do Sul combining Cattle and Soybean Production,Conab Increases Brazilian Soy Estimate Lowers Wheat Estimate,2014/15 Brazilian Soybean Crop is 91.9% GMO Corn is 88.8% GMO,?,"3,81",1,1
2015-01-12,254 Cases of Soybean Rust in Brazil Slight Increase over Last Week,Dryness in Brazil Encourages Fast Soy Harvest Slow Corn Planting,Brazilian Ports Increase Capacity to Accommodate Larger Soy Crop,Farmers in Mato Grosso have sold 45% of their Soy Sales Slowing,Brazilian Farmers Confronting Increased Pest Pressures,Brazilian Farmers have sold 40% of their Soybeans Sales Slowing,Soybean Forward Sales Increase in Brazil still Lag Last Year,Conab Increases Soybean Estimate Slightly in January Report,?,?,"4,05",1,1
2015-02-10,Grain Trucks Blockaded in Mato Grosso to Protest High Fuel Prices,Crops in Western Bahia Impacted by Dry Weather,Conab Lowers 2014/15 Brazilian Soy Estimate in February Report,Safrinha Corn Production in Brazil can be Risky Proposition,"Tegram Grain Terminal Newest Member of the ""Northern Arc""",?,?,?,?,?,"3,83",0,-1
2015-03-10,Farmers in Rio Grande do Sul starting to Plant Winter Small Grains,Farmers in Paraguay increased their Safrinha Soybean Acreage,Weak Currency Stimulates 2014/15 and 2015/16 Soy Sales in Brazil,Soybean Production continues to expand in Northeastern Brazil,Interest Rates on Agricultural Production Loans to Increase in Brazil,2015 U.S. Crop Acreage - 89 mac of Corn and 85-86 mac of Soybeans,Percent Ethanol Blend in Brazilian Gasoline increased to 27%,Number of Sugar/ethanol Mills in Brazil Continues to Decline,New Export Grain Terminal open for Business in Northern Brazil,Farmers Reevaluate Safrinha Planting as Grain Prices Rise in Brazil,"3,86",0,0
2015-04-09,Corn prices fall in southern Goias,U.S. Corn Planting Surges Past 50% with Good Weather,2.6% of Mato Grosso's Corn used for Ethanol Farmers Want More,Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs,Record Production Resulting in Mountains of Soybeans in Argentina,Volunteer Corn Becoming more of a Problem in Brazilian Soy Fields,Brazilian Safrinha Corn Generally Rated in Good Condition,Argentine Farmers will probably be Slow Sellers of their 2014/15 Soy,Cotton Acreage and Production to Decline in Brazil,Fire at Port of Santos in Southeastern Brazil slows Grain Exports,"3,84",0,0
2015-05-12,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Early Corn Harvest in Parana Underway,U.S. Corn Condition Rating holds Steady,Early Safrinha Corn Harvest Underway in Brazil,Forward Selling of Corn in Brazil Remains Slow,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Mato Grosso Corn Farmers have good Yields and Low Prices,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"3,67",0,-1
2015-06-10,June Acreage Report Overestimates Harvested Acreage,Areas of Concern for the 2015 U.S. Crops,Trip Report - Indiana and Ohio,Corn Condition Improves Slightly Soybean Condition Holds Steady,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Farmers in Mato Grosso busy Harvesting Corn and Cotton,Trip Report - Illinois Iowa Missouri,U.S. Crop Conditions Decline again due to Wetness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,Areas of Concern for the 2015 U.S. Corn and Soybean Crops,"3,6",0,-1
2015-07-10,Corn price in Mato Grosso improve due to Weaker Currency,Soybeans Enters Second Century of Production in Rio Grande do Sul,U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Areas of Concern for the 2015 U.S. Crops,Corn-Based Ethanol Production Promoted in Mato Grosso,Brazil Corn Exports could Set New Record in 2015,Corn Condition Improves Slightly Soybean Condition Unchanged,Areas of Concern for the 2015 U.S. Crops,Survey for August Crop Report now Underway,Piles of Corn grow at Grain Elevators in Mato Grosso,"3,85",1,1
2015-08-12,Cotton Acreage in Mato Grosso to Increase 2%,Month-By-Month Crop Production Cycle in Brazil,Mato Grosso Farmers Produce Record High Safrinha Corn Yields,U.S. Crop Conditions Hold Steady or Decline Slightly,Grain Production in Brazil Increasing Faster than Storage Space,Wheat Production in South America Encountering Obstacles,Input Sales in Mato Grosso Brazil Continue to Lag Last Year,Paranagua Grain Exports to increase 71% over next 3 months,Trip Report - Eastern Corn Belt,2015/16 Corn Acreage in Argentina Expected to Decline Significantly,"3,88",0,0
2015-09-11,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,Soybean Rust Cases decline 92% in Mato Grosso do Sul in 10 years,South American Acreage and Production Estimates,Month-By-Month Crop Production Cycle for Argentina,Crop Production Cycle for Paraguay Uruguay and Bolivia,Brazilian Corn Exports need to Ramp Up in order to meet Goal,"3,67",0,-1
2015-10-09,Brazilian Farmers Concerned about Delayed Safrinha Corn Planting,Brazil Exports Record Amount of Corn in October,Brazilian Gov. to Auction new Leases to Operate Grain Terminals,Brazil's Corn Exports Ramp up as Soybean Exports Wind Down,Mato Grosso Farmers Must Now Register Their Soybean Production,Wet Weather at Port of Paranagua Delays Brazilian Corn Exports,Analyst's Estimates for 2015/16 Brazilian Crop Production,?,?,?,"3,87",1,1
2015-11-10,Port of Paranagua Increases Grain Exports despite Excess Rainfall,Mato Grosso Expected to Double Corn Production in Ten Years,Brazilian Farmer's Innovative Solution to Lack of Grain Storage,Heavy Rains Impacting Crops in Parana,Rio Grande do Sul Reports Most Cases of Soybean Rust in Brazil,Freight Costs in Mato Grosso Increase due to New Tolls,Cotton Third Most Important Crop in Mato Grosso after Soy Corn,Conab Increases Brazil Soybean Estimate Lowers Corn Estimate,12% Tax on Grain Exports Proposed by Three States in Brazil,?,"3,77",0,-1
2015-12-09,Weaker Currency Buoys Domestic Commodity Prices in Brazil,Brazil Farmers Waiting Until Harvest Complete to Continue Selling,Millet is an Alternative to Corn or Sorghum in Northeastern Brazil,Northern Arc of Ports in Brazil Increase Grain Exports by 50%,Agricultural Chemical Sales in Brazil Decline 23% in 2015,Lower Taxes & Devalued Currency to Spur Grain Sales in Argentina,Hot and Dry Weather Impacting Soybean Production in Mato Grosso,2015/16 Brazilian Soybean Production Unchanged at 99.0 mt,Conab Increases Brazilian Soybean Estimate in December Report,Chinese and Brazilian Delegations Discuss Soybean Production,"3,66",0,-1
2016-01-12,Brazil's Corn Auction did Little to Relieve Tight Supplies,Conab Lowers Brazilian Soybean Estimate Increases Corn Estimate,Safrinha Corn Prospects Improving in Brazil,Brazil to have Seven Corn-Based Ethanol Facilities by end of 2016,Corn Prices in Rio Grande do Sul are 45% Higher than Last Year,Brazilian Governmental Auction of Corn set for February 1st,Brazil to Sell Corn Stocks to ease Shortages in Southern Brazil,Changeable Weather Impacting Brazilian Crops,Freight Rates Increase due to Devalued Brazilian Currency,Early Yield Reports of Brazilian Soybeans are Generally Sub-Par,"3,63",0,0
2016-02-09,High Corn Prices Reduce Buying Power of Poultry Producers,Record Corn Exports result in Strong Domestic Corn Prices in Brazil,Moving Grain North in Brazil could save US$ 47-60 Per Ton,Safrinha Corn Planting in Mato Grosso Reaches 65%,Farmers in Central Brazil face Higher Freight Costs and New Tolls,Spring Planting May Start Early in the Western Corn Belt,Governor of Goias Reverses Course - No Taxes on Grain Exports,Brazil Could Double Soybean Production in Cerrado Area,Safrinha Corn Planting Progressing Quickly in Brazil,Livestock producers in Santa Catarina want Relief from high Corn Prices,"3,65",0,0
2016-03-09,Domestic Corn Prices in Brazil Continue Strong,Brazil and Argentina increase use of Biofuels,Brazilian Corn Losing Competitiveness against U.S. and Argentina,U.S. Corn Acreage may be lower than Prospective Plantings Report,With Depleted Corn Stocks Brazil Risks Running out of Corn,Brazil's Wheat Production could Increase in Spite of Lower Acreage,Brazil Importing Corn for Livestock Sector in Southern Brazil,Costs Increasing in Brazil Farmers Purchasing Inputs for Next Year,Tight Supplies Result in Record High Corn Prices in Southern Brazil,Wheat Acreage in Brazil may Decline again in 2016,"3,6",0,-1
2016-04-12,Wheat Production to Increase in Argentina Decrease in Brazil,Estimates for Brazil's Safrinha Corn Continue to Decline,Brazil's Safrinha Corn Impacted by Adverse Weather,Wheat Acreage in Parana Continues to Decline,Railroads expand their share of Grain Transport in Brazil,Safrinha Corn in Brazil Receives Welcomed Rain and Cooler Temps,2015/16 South American Soybean Production now Below Last Year,U.S. Corn Planting is 30% Complete well Ahead of the 16% Average,Brazil's Safrinha Corn Continues to Suffers from Hot Dry Weather,Grain Exchange in Argentina lowers Soy Crop 4 mt to 56 Million,"3,64",1,1
2016-05-10,Frost in Southern Brazil could impact Safrinha Corn in Parana,Domestic Soybean Prices Surge in Brazil,Poultry Producers in Parana lose Birds due to lack of Corn,Estimates of the Safrinha Corn Crop in Brazil Continue to Decline,Soybean Prices at Brazilian Ports could hit R$ 100 Per Sack,U.S. Corn Planting 94% Soy 73% Both Slightly Ahead of Average,Trip Report - Indiana and Western Ohio,Corn Scarcity points to Lack of Grain Storage in Brazil,Chickens Dying of Starvation in Parana for lack of Corn,Two More Harvests Needed to Stabilize Corn Situation in Brazil,"3,79",1,1
2016-06-10,Corn Prices in Brazil Remain Strong due to Lower Production,Conab Slashes Brazilian Corn Estimate by 7 Million Tons,Farmers in Santa Catarina in Southern Brazil may Plant More Corn,2016 U.S. Crop Conditions - Corn Steady Soybeans down 2%,Brazilian Soybean Exports Strong Corn Exports Decline,Safrinha Corn Yields in Jatai Goias Expected to be down 40%,Cost of Controlling White Flies Surging in Brazil,2016 U.S. Crop Conditions - Corn Steady Soybeans down Slightly,2016 State Rankings for U.S. Crops,Report Concerning Cost of Production in North & South America,"4,07",1,1
2016-07-12,Brasil Trying to clear way to Import 1.5 Million Tons of U.S. corn,Freight Rates Decline in Brazil due to Excess Capacity,U.S. Corn Condition Declines 2% Soybeans Unchanged,Harvesting and Planting Corn at the Same Time in Southern S.A.,Domestic Corn Prices in Brazil continue to Surge Higher,Corn Harvest in Mato Grosso do Sul reaches 38% Yields Disappoint,Brazil could Run Out of Corn Again in Early 2017,Early Corn Planting Underway in Rio Grande do Sul,Dry Weather results in Increase in Fires in Central Brazil,Brazil's Safrinha Corn Estimates continue Declining,"3,87",0,-1
2016-08-12,Tolls Increase in Brazil Farmers could Pay $ 0.90 per/bu Just in Tolls,Mato Grosso Legislator Promotes Increased use of Irrigation,U.S. Corn Condition Declines Slightly Soybeans hold Steady,Conab Lowers Brazilian Corn Production 1.5 mt in Sept. Report,Brazilian Poultry and Hog Producers React to Higher Corn Prices,Brazil May Need to Import Corn Soybeans Soy Meal and Cotton!,First Vessel of Imported Corn Arrived in Brazil Last Week,Cost of Producing Soy in Mato Grosso do Sul to increase 11%-12.5%,Weak La Nina could Impact 2016/17 South American Crops,4.2% of Safrinha Corn Acreage in Mato Grosso was Abandoned,"3,31",0,-1
2016-09-12,Brazilian Cotton Production to Rebound from Disappointing 2015/16,Brazilian Commission Approves GMO Corn Imports from the U.S.,Price of Wheat in Parana below Government Minimum,Planting of Spring Crops in South America Ahead of Schedule,Reduced Corn Production in Brazil resulting in Lower Freight Rates,Increased Pork Exports helps Brazilian Hog Producers,South American Crop Production vs. the United States,2016/17 Brazil Soybean Planting 2% Argentine Corn Planting 15%,After Poor 2015/16 Cotton Acreage in Bahia to Decline another 18%,"Construction of ""Grain Railroad"" given OK by Brazilian President","3,26",0,-1
2016-10-12,Forward Selling of Soy and Corn in Brazil Slower than Last Year,Early Soy Planting Allows Early Safrinha Corn Planting in Parana,Brazil Levies Fines for Illegal Grain Production in Amazon Region,Export Tax Plan in Argentina could Result in Slow Farmer Selling,Export Tax Plan in Argentina could Result in Slow Farmer Selling,Argentine Corn Planting 32% Soybeans 1%,Only Light Interest Expressed in Importing U.S. Corn into Brazil,Mato Grosso Corn Acreage Unchanged in 2016/17 Yields Improve,October Crop Report - U.S. Corn Yield Lower Soy Yield Higher,Brazil Farmers slow to Forward Contract 2016/17 Soy Production,"3,37",1,1
2016-11-09,In Brazil - Weaker Currency Political Unrest Declining Corn Prices,Brazil to Expand Biodiesel Production over Next Few Years,Argentina Planting - Soy Slower than Average Corn Much Slower,Grain Sorghum an Option for Late Planted Safrinha Crop,Argentina Planting Progress - Soybeans 24% Corn 40%,Weaker Currency Increases Sales in Brazil Still Behind Last Year,86% of Mato Grosso Cotton will be Safrinha Production,Brazil May Import only a Small Amount of U.S. Corn,Brazil Currency U.S. Election Nov. Crop Report Brazil Politics,Conab Lowers Brazil Soy Estimate Slightly Increases Corn Slightly,"3,51",1,1
2016-12-09,Conab Increases Brazil Crop Estimates Survey Several Weeks Old,Argentine Corn Impacted by Recent Wet Weather,First Corn-Based Ethanol Facility set to open in Mato Grosso in June,Grain Exchange lowers Argentina Soy Acreage 300000 Hectares,Argentina Corn Crop needs Dryer Weather to Complete Planting,Soy Export Tax in Argentina will Decline starting in January 2018,Crop Insurance in Brazil Covers only 15% of Crop Production,Brazil's Second Crop of Corn could set New Record,Conditions Continue Favorable for Brazilian Crops,Weekend Rains help Argentina's Soybean and Corn Crops,"3,47",0,-1
2017-01-12,Safrinha Corn Planting in Mato Grosso slow at 10%,Trip Report - Mato Grosso and Central Brazil,Early Safrinha Corn Planting in Brazil delayed by Wet Weather,Early Corn Planting underway in Mato Grosso,Brazilian Trip Report - Goias and Southeastern Mato Grosso,Soy Production in Paraguay and Uruguay could set Record Highs,Corn Prices in Brazil under Pressure from Increased Production,Saturated Conditions Impacting Crops in Central Argentina,Early Soybean and Corn Harvest about to get Underway in Parana,?,"3,54",1,1
2017-02-09,Biodiesel Blend in Brazil Increased from B7 to B8 could go to B15,Brazilian Farmers are Slow Sellers of their 2016/17 Soybeans,Two New Corn-Based Ethanol Facilities in South America,Crops in Southern Buenos Aires Impacted by Prior Dry Conditions,Argentine Crops Continue to Benefit from Favorable Weather,Crop Insurance Covers 4.4% of Grain Production in Mato Grosso,Brazilian Farmers Increase Fertilizer Purchases,Mexico to Import more Corn and Soy from Brazil and Argentina,2016/17 Brazilian Safrinha Corn 36% Planted,"""Grain Railroad"" and BR-163 Key to Moving Grain North in Brazil","3,64",1,1
2017-03-09,Brazilian Soybean Prices Slumping Farmers Remain Slow Sellers,Cattle Prices Decline in Brazil as Processors Slow Production,Brazilian Farmers are Slow Sellers Hoping for Higher Soybean Prices,Reaction to USDA 2017 Prospective Plantings Report,Rainfall Welcomed across Southern Corn Belt at least for Now,Corn Prices in Mato Grosso Slump to Breakeven or Below,Prospective Planting Report to be released at end of the Week,Brazil's Largest Food Companies Accused of Selling Tainted Meat,Brazil to Export Record Large Amounts of Soybeans and Corn,Cotton Production in Mato Grosso Brazil Expected to Increase 12%,"3,73",1,1
2017-04-11,Slow Planting in U.S. could result in Lower Corn Acreage and Yields,Brazilian Farmers Continue to be Slow Sellers of 2016/17 Soy Crop,2017 Wheat Acreage in Parana to Decline 8-10%,Early Onset of Dry Weather Could Impact Safrinha Corn in Brazil,2016/17 Soybean and Full-season Corn Yields set Records in Parana,Some Corn and Soy Replant needed Wheat Impacted as Well,Much of Mato Grosso's Corn Production will be Piled Outside,Brazil Gov. to Subsidize Corn Prices in Mato Grosso this Week,Drying Weather and Slumping Corn Prices Worry Farmers in Goias,2017 U.S. Corn Planting Nearly Catches up to Average Pace,"3,61",0,-1
2017-05-10,Decline of JBS to create Openings for Small and Medium Processors,Fertilizer Deliveries in Brazil Decline during First Trimester of 2017,U.S. Corn Planting 96% Complete 68% Rated Good to Excellent,Dry Conditions Developing in Northwestern Corn Belt,Conventional Soy Production in Mato Grosso to increase in 2017/18,Safrinha Corn Harvest begins in Brazil and Corn Prices Decline,Low Grain Prices Challenge Brazilian Farmers,2017 U.S. Corn 91% Planted 65% Rated Good to Excellent,Trip Report - Eastern Illinois and Western Indiana,Early Safrinha Corn Harvest starts slowly in Mato Grosso,"3,66",1,1
2017-06-09,U.S. Crop Conditions Decline due to Hotter and Dryer Conditions,As Soy Prices Improve Brazilian Farmers Cautiously Optimistic,Open-Air Piles of Safrinha Corn Starting to Appear in Mato Grosso,2017 U.S. Corn Condition Improves Slightly Soy Condition Declines,Comparing Acreage and Production - U.S. Brazil and Argentina,Chronic Lack of Grain Storage Difficult Problem to Solve in Brazil,2017 U. S. Corn Condition Steady Soybeans Decline Slightly,Safrinha Corn Harvest Underway in Brazil,Soy Production in Uruguay Rebounds to Record High Production,Corn Development Phases and their Impact on Potential Yield,"3,72",1,1
