Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2017-07-12,Corn Harvest in Mato Grosso Wrapping Up Prices Disappoint,U.S. Corn Crop Declines Slightly Soybeans Improve Slightly,Brazil Poised to Surpass the United States in Soybean Production,Low Commodity Prices Worry Parana Farmers in Southern Brazil,Trip Report - Iowa Minn. N. Dakota S. Dakota Northern Illinois,U.S. Corn Condition Declines Slightly Soybeans Improve,Trip Report - Indiana and Western Ohio,U.S. Corn Condition Declines 2% Soybeans Decline 4%,U.S. Crop Conditions Decline - Areas of Concern for U.S. Crops,U.S. Crop Conditions Decline Especially in the Western Corn Belt,"3,77",1,1
2017-08-10,Imea increases Estimate of Mato Grosso's Corn Production,U.S. Corn Condition declines Slightly Soybeans hold Steady,Soy Acreage up Soy Production Down in R. Grande do Sul in 2017/18,Brazilian Cotton Producers to Increase Acreage 11% in 2017/18,Bolivia will Sell Urea to Brazil and Brazil will Sell Soybeans to Bolivia,U.S. Corn Condition Unchanged Soybeans Improve Slightly,Ethanol is Option for Excess Corn Production in Mato Grosso,Slow Selling Results in Shortage of Grain Storage in South America,U.S. Corn Condition Unchanged Soybeans Improve Slightly,Cost of Good Agricultural Land in Parana Averages $8070 per acre,"3,73",0,-1
2017-09-12,Conab 1st 2017/18 Brazilian Crop Est. - Soybeans 107 mt Corn 93 mt,2017/18 Brazilian Soybean Acreage Increase by Regions,Mato Grosso Farmers have sold 15% of their 2017/18 Soy Production,Corn Offers Better Returns than Soybeans for Farmers in Argentina,2017 U.S. Corn Condition Steady Soybeans improve Slightly,Farmers in Argentina have Planted 12% of their 2017/18 Corn Crop,Brazil Wheat Crop may Disappoint in both Yield and Price,U.S. Corn Condition holds Steady Soybeans down Slightly,Increased Odds of La Nina could Impact South American Crops,Study Indicates Corn-Based Ethanol Feasible in Mato Grosso,"3,5",0,-1
2017-10-12,Does Late Safrinha Corn Planting in Mato Grosso impact Yield?,Chinese Investors to build 30 Grain Silos in Mato Grosso,Second (and larger) Corn Ethanol Plant Announced for Mato Grosso,Slow Soy Planting in Goias could impact Safrinha Corn Production,Farmers in Argentina Planting Summer Crops at Average Pace,Brazilian Currency Weakens - Brazilian Farmers Increase Sales,Margins on Soy Production in Mato Grosso in 2017/18 will be Tight,68.3% of Ag Income in Brazil from Crops 31.7% from Livestock,Mato Grosso Produces 6.5 Times more Corn than Consumed Locally,Rate of Deforestation in Brazilian Amazon Region declines in 2017,"3,51",0,0
2017-11-09,Brazilian Farmers Slow Sellers in spite of Increasing Prices,Brazilian Cotton Acreage could increase 20% in 2017/18,Proposal Introduced in Brazilian Congress to Tax Grain Exports,Normal Planting Pace for Argentine Soy Corn Slower than Average,2017/18 Corn Acreage in Brazil could Disappoint,Brazilian Farmers Hope for better Corn Prices in 2018,"Backers Urge Brazilian President to Approve ""Grain Railroad""",Weaker Currency Stimulates Corn Sales in Brazil,Mato Grosso's Corn Production could decline 4 mt in 2017/18,Reuters Survey - Average Brazil Soy Production 109.4 Million Tons,"3,49",0,0
2017-12-12,Early Safrinha Corn Planting Underway in Parana,Brazilian Corn Production yet to be Determined,Cotton Acreage in Mato Grosso expected to increase 15.8%,Brazilian Farmers lack Enthusiasm for 2017/18 Safrinha Corn,Soy Planting in Brazil Complete Safrinha Corn yet to be Determined,Argentina Soy Planting on Pace Corn Planting Extremely Slow,Conab Increases Brazilian Soybean Estimate Corn declines Slightly,?,?,?,"3,46",0,0
2018-01-12,Safrinha Corn in Brazil 10.6% Planted Mato Grosso 16% Planted,Argentina Corn Crop being impacted by Hot and Dry Conditions,Crops in Uruguay being impacted by Hot and Dry Weather,Hot and Dry Conditions could impact Crops in Argentina,New Route to Import Corn from Paraguay into Southern Brazil,Forward Soybean Sales have been slow in Brazil,Weather in Uruguay has been inconsistent for Soybean Production,Brazilian Farmers Moving Old Crop Corn to make room for Soy,Brazilian Corn and Soybean Production Maps from Conab,Conab Increases Brazilian Soybean Estimate 1.2 Million Tons,"3,5",1,1
2018-02-08,2017/18 Brazil Safrinha Corn 63% Planted,Argentina Corn 3.2% Harvested Yields Dissapoint,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Safrinha Corn Crop is 43% Planted,Argentine Soybean Estimate Continues to Decline,83% of Mato Grosso's Cotton is Safrinha Production,Mexico Cracks Open the Door for Corn Imports from Brazil,Crop Estimates in Argentina Continue to Decline,Planting of the Safrinha Corn in Brazil Proceeding Slowly,"3,55",1,1
2018-03-08,Safrinha Corn in Excellent condition in central Mato Grosso,Argentina Crops Received some rain but more is Needed,Brazil may Import Corn from U.S. and Argentina,Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Barge Operator to Truck Grain out of Mato Grosso to the Amazon,Brazil's Safrinha Corn Crop Planting Nearly Complete,Argentina Corn 13.3% Harvested Rains Disappoint Again,Safrinha Corn Planting Complete in Mato Grosso,Safrinha Corn in Brazil 92% Planted Rated in Good Condition,"3,72",1,1
2018-04-10,Brazil Safrinha Corn Continues to be impacted by Dry Weather,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,Wheat Production in South America could increase 5.9% in 2018,U.S. Corn Planting 17% Complete about a week slower than Average,Only 1.2% of Deforestation in Amazon Region due to Soy Production,Brazilian Soybean Farmers very Pleased with Strong Prices,Safrinha Corn in Southern Brazil being impacted by Dry Weather,Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,"3,82",1,1
2018-05-10,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,2018 U.S. Crops off to a Strong Start,Safrinha Corn Harvest starting in Mato Grosso,Analyst Lower their 2017/18 Brazilian Corn Estimates,Brazilian Farmers are finally selling their Wheat at a Profit,Brazilian Organizations Criticize Increased Freight Rates,Rosario Grain Exchange lowers their Argentine Crop Estimates,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,Weaker Brazilian Currency results in Improved Soy Prices,"3,92",1,1
2018-06-12,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report,U.S. Corn Condition Declines Slightly Soybeans Unchanged,U.S. Corn Condition Declines 1% Soybeans Decline 2%,Freight Dispute continues to cause Havoc with Brazilian Grain Trade,June Planted Report offers few Surprises,Agroconsult lowers Brazilian Corn Estimate,Corn Deficits Worry Livestock Producers in Southern Brazil,2018 U.S. Crops Continue to be Rated Very Good,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Grain Trade in Brazil has been Minimal for more than Three Weeks,"3,93",0,0
2018-07-12,Safrinha Corn Harvest in Parana approaching 50% Complete,Trip Report - Iowa and Northern Illinois,More Corn-based Ethanol to come online in Brazil,Crops in Santa Cruz region of Bolivia suffering from Severe Drought,Safrinha Corn Production in Brazil continues to Disappoint,August Weather will determine Final 2018 U.S. Corn Yield,Forward Selling Slow in Brazil due to Uncertainty over Freight Rates,Flower Prices Increase in Brazil due to Higher Freight Rates,Safrinha Corn Harvest in Brazil reaches 50%,High Freight Rates increase Cost of Producing Crops in Mato Grosso,"3,55",0,-1
2018-08-10,Annual Month-By-Month Crop Production Cycle for Argentina,Crop Production Cycle for Paraguay Uruguay and Bolivia,Annual Month-By-Month Crop Production Cycle in Brazil,Corn Planting and Wheat Harvest in Parana off to a slow Start,2018 U.S. Corn Condition Declines Slightly Soybeans Unchanged,New Programs Launched for Construction of Grain Storage in Brazil,2018/19 Corn Acreage in Argentina could increase 7.4%,U.S. Corn Condition Holds Steady Soybeans Improve,Farmers in Bahia very Pleased with Cotton Production and Price,Brazilian Soybean Prices supported by Weaker Brazilian Currency,"3,59",1,1
2018-09-12,Scattered Problems for First Phase of Corn Planting in Argentina,History of How Brazil became so Important in Soybean Production,Soy Farmers in Mato Grosso do Sul are Planting Fast and Selling Fast,Cotton Acreage and Production continues to increase in Brazil,South American could set new Records for Soy and Corn Production,More Corn will be consumed domestically in Mato Grosso,Soybean and Full-Season Corn Planting in Parana at Record Pace,Conventional Soybean Acreage in Mato Grosso to Decline in 2018/19,U.S. Corn Condition Steady Soybeans Decline 1%,Freight Increases forcing some Companies to refuse new Business,"3,58",0,0
2018-10-11,First Case of Soybean Rust reported in Commercial Fields in Brazil,Proposal would increase Brazil's Biodiesel Blend to B15,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Brazil's 2018/19 Corn Crop could set a New Record High Production,Strong Machinery sales in Brazil expected to continue into 2019,Mato Grosso could produce more Corn than Soybeans by 2022,Dry Weather in western Argentina slows Corn Planting,Stronger Brazil Currency results in Declining Grain Prices in Brazil,Forward Selling of Soybeans in Brazil Grinds to a Halt,"3,59",0,0
2018-11-08,Corn-Based Ethanol helps to hold down Gasoline Prices in Brazil,Deforestation in Mato Grosso increased for Second Consecutive Year,2018/19 Brazilian Crops continue to be Rated Very Good,Brazil's Cotton Exports could increase 35% in 2019,"""Grain Railroad"" could lower Cost out of Mato Grosso by 30%",Santa Catarina runs 4 Million Ton Deficit in Corn Production,2018/19 Crops in Brazil off to a Very Good Start,Planting of 2018/19 Crops in Argentina a little slower than Average,Imea Releases their First Corn Production Estimate for Mato Grosso,Farmers in Mato Grosso to increase Cotton Acreage by 18%,"3,69",1,1
2018-12-11,2018/19 Brazil Safrinha Corn Planting off to a Record Fast Start,Outside of Saturated Areas 2018/19 Argentina Crops doing Fine,Soybean Prices in Mato Grosso decline as Harvest Progresses,2018/19 Argentina Crops Complicated by Saturated Conditions,2018/19 Brazil Safrinha Corn being Planted at Record Pace,Brazilian Farmers have sold 33.7% of their 2018/19 Soy Production,Outside of Saturated Areas Argentina's Crops Progressing Well,Brazilian Farmers start planting their 2018/19 Safrinha Corn,Minimum Freight Rates Increased in Brazil,Condition of Argentina Corn Improving,"3,7",0,0
2019-02-08,2018/19 Safrinha Corn Planting Essentially Complete in Mato Grosso,Early 2018/19 Corn Yields in Argentina are Good,Soybean Premiums and Prices Move Higher in Brazil,Spring Weather could Impact 2019 Corn and Soy Acreage in U.S.,Weather Generally Beneficial for Start of Safrinha Corn in Brazil,Ethanol Produced from Corn Increasing Rapidly in Brazil,"""Northern Arc"" of Ports account for 28% of Brazil's Grain Exports",Brazil has Three Distinct Corn Crops,Livestock Producers in Southern Brazil importing Argentine Corn,Brazil's Safrinha Corn off to an Early Start,"3,78",1,1
2019-03-08,Anec Estimates Lower Brazilian Soybean and Corn Exports,Farmers in Parana hoping for Good Safrinha Corn Crop,USDA Report may Overestimate Corn Underestimate Soy Acreage,Good Early Corn Yields in Argentina Soy Harvest just Starting,Another Corn-Based Ethanol Facility for Mato Grosso Brazil,Brazilian Farmers Optimistic about Safrinha Corn Production,Brazilian Safrinha Corn in Good Condition Dryness Worries,Early Argentine Corn Yields Exceed Expectations 8.5% Harvested,Early Soy Harvest Underway in Argentina Good Yields Reported,Cordoba Argentina Could Harvest Record Large Corn Crop,"3,73",0,-1
2019-04-09,Brazilian Land Prices Reflect Agricultural Usage,Corn-Based Ethanol now 4.6% of Brazil's Ethanol Production,Equipment Sales Soar at Successful Agrishow-2019 in Brazil,Continued Slow Planting of U.S. Corn 23% Planted vs. 46% Average,Increased Cotton Prod. Stimulates Cotton Harvester Sales in Brazil,Deforestation Declined in Brazil in 2018 Much More Work Needed,The State of Mato Grosso leads Brazil in Cattle Production,Brazilian Exporters Unhappy about Increase in Freight Rates,Soybean Premiums decline significantly at Brazilian Ports,Farmers in Rio Grande do Sul like their Soy Yields but not Soy Prices,"3,68",0,-1
2019-05-10,Safrinha Corn Yields in Mato Grosso already Setting Records,Imea Estimates Soy Area in Mato Grosso to Increase 0.6% in 2019/20,Brazilian Farmers very hopeful concerning their 2019 Safrinha Corn,2019 U.S. Corn Planting Record Slow at 67% Complete,Brazilian Soybean Prices follow U.S. Prices Higher,2019 U.S. Corn only 58% Planted Faces Many Challenges,Safrinha Corn Harvest begins in Brazil big Yields Expected,Conab to Reduce the Number of its Grain Storage Facilities in Brazil,Brazil's Corn Exports could Exceed 30 Million Tons in 2019,Corn-Based Ethanol Production continues to Expand in Brazil,"3,59",0,-1
2019-06-11,Hard Freeze Negatively Impacted Crops in Southern Brazil,2019 U.S. Crops continue to be behind in their Development,Trip Report - Northern Illinois - July 5 2019,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Another Corn-Based Ethanol Facility set to open in Mato Grosso,Soy Prices could decline 23% if Brazil's Kandir Law Revoked,2019 U.S. Corn Crop only 94% Emerged vs. Average of 100%,Brazilian Farmers making Progress Harvesting their Safrinha Corn,Parana Farmers Planting Wheat and Harvesting Safrinha Corn,Cost of Producing Corn and Cotton in Mato Grosso on the Rise,"3,99",1,1
2019-07-11,Soybean Prices Improving for Brazilian Farmers,First Look at 2019/20 South American Crop Production,Condition of U.S. Corn Crop declines 1% to 57% Good to Excellent,Brazil Ministry - Soy Production to Expand 32.9% over next Decade,Condition of the 2019 U.S. Corn Crop shows Slight Improvement,Brazilian Supreme Court allows Iranian Grain Vessels to be Refueled,Freeze results in Lower Wheat Production in Parana Brazil,U.S. Corn Condition declines 1% to 57% Good to Excellent,Reaction to the S. American Estimates in the July WASDE Report,2018/19 Brazil Safrinha Corn Harvest Surpasses 50%,"4,39",1,1
2019-08-12,U.S. Corn Conditions down 3% due to Weather lack of Nitrogen,2019 U.S. Corn Condition declines 3% gd/ex Soybeans Unchanged,Economics and Politics Favor Soy over Corn in Argentina in 2019/20,3% of Full-Season Corn Planted in Parana in Southern Brazil,AgRural Projecting 1.1% increase in Brazil Soy Acreage in 2019/20,2019 U.S. Corn Condition improves 1% G/E Soybeans Unchanged,Soybean Prices in Brazil continue to Move Higher,Farmers in Parana trying to Revive Cotton Production,2019 U.S. Corn Crop Improves Slightly remains Highly Variable,Brazilian Sugarcane Acreage to Decline 2.4% in 2019/20,"4,16",0,-1
2019-09-12,20% of Argentine Corn Planted Very Little Soy Dryness Worries,U.S. Crops Could be Impacted by Freezing Temperatures,2019/20 Argentina Corn 16% Planted very few Soybeans Planted,2019 U.S. Crops Continue Slow March toward Maturity,Estimates from the B. A. Grain Exchange and its Meteorologists,Deforestation Declined in Mato Grosso as Grain Prod. Increased,Santa Catarina to increase Soybean Acreage Decrease Corn Acreage,Too Much Rain in NW Corn Belt Too Little in Southeastern U.S.,2019 U.S. Corn Condition Improves Soybeans Unchanged,2019 U.S. Crops remain behind in Development,"3,61",0,-1
2019-10-10,Significant Losses of Grain in Brazil Occurs during Transport,Delayed Soybean Planting in Brazil could Impact Safrinha Corn,2019/20 Argentina Corn Crop 40% Planted,Argentina Expected to Increase Commodity Export Taxes,Brazil's Northern Arc of Ports to Export 35 Million Tons of Grain,Soybean Prices in Brazil Decline 5% over last Two Weeks,2019/20 Argentina Corn 35% Planted Slightly Slower than Average,Mato Grosso Accounts for 52% of Brazil's Corn Exports,Brazil could have 16 Corn-Based Ethanol Facilities by 2021,Mato Grosso Farmers Increase Forward Contracting of Corn,"3,78",1,1
2019-11-08,Argentina Soy 39% Planted Corn 46% Dryer Forecast Worries,Record Corn Exports Could Result in Corn Shortages in Brazil,2019/20 Full-Season Corn in Brazil OK Safrinha to be Determined,Surging Corn Exports Result in Higher Corn Prices in Brazil,Argentine Farmers Switching Some Intended Corn to Soybeans,Delayed Soy Planting Could Reduce Brazil's Safrinha Corn Acreage,Brazil Could Import a Small Amount of Corn Due to Tight Supplies,Safrina Corn will be Planted Late in Mato Grosso do Sul,Strong Corn Prices in Mato Grosso Brazil's Largest Corn Producer,2019/20 Argentina Soybeans 20% Planted Corn 45% Planted,"3,88",1,1
2019-12-10,Drought Impacting Crops in Rio Grande do Sul in Southern Brazil,2019/20 Argentina Corn Helped by Rain Needs More,Full-season Corn Impacted by Dry Weather in Southern Brazil,Brazilian Farmers Planting Pasture Grass with Safrinha Corn,Workshop Promotes Wheat Production in Mato Grosso Brazil,Brazil Exports First Shipment of Dry Distillers Grain,Brazil Could Have Lowest Corn Carryover in Six Years,2019 Corn Prices in Mato Grosso Averaged 17% More than in 2018,New Joint Venture in Brazil for Corn-Based Ethanol Production,Corn in Argentina 55% Planted 26% Pollinating Dryness Worries,"3,73",0,-1
2020-01-10,China's Grain Purchases Focused on Brazilian Soybeans,Domestic Corn Prices in Brazil Expected to Remain Strong in 2020,2019/20 Brazilian Safrinha Corn Acreage Uncertain,Port of Itaqui Destined to be one of the Largest Grain Ports in Brazil,Ethanol Stimulates Safrinha Corn Production in Mato Grosso,2019/20 Argentina Corn 97% Planted 190000 ha Left to Plant,Corn Prices and Corn Sales in Brazil Expected to Remain Strong,Truckers want More than the 11-15% Increase in Freight Rates,Brazilian Farmers have Started to Plant their 2020 Safrinha Corn,Tight Corn Supplies in Southern Brazil could Worsen in Near Future,"3,85",1,1
2020-02-11,Domestic Grain Prices in Brazil Setting Record Highs,Domestic Corn Prices in Brazil Continue Very Strong,Emater Lowers Soy and Corn Estimates in Rio Grande do Sul,Hot and Dry Weather Could Impact Late Crops in Argentina,Brazil's Biodiesel Blend Increased to 12% Vegetable Oil (B12),Domestic Corn Prices in Brazil 20% Higher Than a Year Ago,Brazil's Largest Sugar Mill May Add Corn to Produce Ethanol,Half of Brazil's Safrinha Corn Planted after Ideal Window Closes,Reaction to USDA's 2020 Outlook Conference,"Brazilian Government Releases ""Pre-Cost"" Funding","3,84",0,0
2020-03-10,"Last Week was ""Best Week Ever"" for Brazilian Grain Producers",Only Minor Problems being Reported for Brazilian Logistics,Domestic Corn Prices in Brazil remain Strong,Safrinha Corn off to a Good Start in Southwestern Goias,Grain Logistics in Argentina are Tenuous at Best,Southern Safrinha Corn Areas of Brazil need Rain,Parana Farmers to Increase 2020 Winter Wheat Acreage by 5%,Brazilians Advised to Sell their Soy before Potential Stronger Real,Brazilian Producers Bullish on Future of Corn Ethanol Production,Virus Threat leads to Uncertainty of Grain Transport in Brazil,"3,76",0,-1
2020-04-09,Soy Prices Continue to Increase in Brazil due to Weaker Currency,2019/20 Argentina Corn Harvest Advanced 2% last Week to 37%,U.S. Corn Planting 51% Complete Soy 23% both Ahead of Average,2019/20 Safrinha Corn in Southern Brazil Waiting for Rain,Dry Weather a Concern for Southern Safrinha Corn in Brazil,Brazilian Farmers Expected to Increase their Winter Wheat Acreage,Paraguay Ethanol Production Impacted by Corvid-19 Pandemic,Domestic Soybean Prices in Brazil Set Records Last Friday,Brazilian Ports Operating Normally for Grain Exports,Brazil Produced Record Ethanol in 2019/20 4.7% Made from Corn,"3,44",0,-1
2020-05-12,Agricultural Equipment Sales Surge in Brazil,Brazil's Cotton Acreage to Decline in 2020/21 More Corn and Soy,Brazil's Safrinha Corn 2% Harvested,2020 U.S. Crops Starting off in Generally Good Condition,2020 U.S. Corn Crop 78% Emerged Off to Good Start,2019/20 Safrinha Corn Harvest Starting in Mato Grosso,2019/20 Argentina Soybeans 93% Harvested Corn 43% Harvested,Safrinha Corn Helped by Recent Rains in Southern Brazil,Itaipu Dam Opens Spillway to Increase Water Level of Parana River,Yacyreta Dam Increases Water Discharge to Aid Parana River,"3,17",0,-1
2020-06-11,Conab Increases Soy Estimate 0.4 mt Lowers Corn Estimate 0.4 mt,Worrisome Forecast for Corn in Eastern Corn Belt,2020 U.S. Corn Condition Declines 2% Soy Condition Unchanged,Increased Acreage and Late Rains Help Brazil Safrinha Corn,2020 U.S. Crop Conditions Improve 1% for both Corn and Soybeans,Currency Volatility Spurred Soybean Sales in Brazil,Depressed Ethanol Sales in Brazil show Signs of Recovery,Safrinha Corn Harvest in Mato Grosso is 16% Parana is 4%,Early Safrinha Corn Harvest Underway in Eastern Goias,2020 U.S. Crop Condition-Split Decision Corn up 1% Soy Down 2%,"3,23",1,1
2020-07-10,2020 U.S. Corn Condition Declines 1% Soybeans Improve 1%,Port of Paranagua to Continue Loading very Large Grain Vessels,Corn Prices in Brazil supported by Exports Livestock and Ethanol,2020 U.S. Crops in Good Condition Estimates Moving Higher,2020/21 Argentina Soybean and Corn Acreage Estimates,2020/21 Paraguay Soybean and Corn Acreage Estimates,2020 U.S. Corn Condition Unchanged Soybeans up 1% to 73% G/Ex,Brazilian Corn Acreage could Increase 2.3% in 2020/21,Brazilian Soybean Acreage could Increase 4.2% in 2020/21,2020 U.S. Corn Estimates moving Higher,"3,33",1,1
2020-08-12,Mato Grosso to Produce More Corn than Soybeans in 2020/21,U.S. Corn Condition down 1 to 61% G/E Soy down 1 to 65% G/E,Annual Month-By-Month Crop Production Cycle in Brazil,Strong Exports Forces Brazil to Import Soybeans Corn and Rice,Spot Commodity Prices in Mato Grosso near Record High Levels,2020 U.S. Corn Condition Declines 2% Corn is 12% Mature,2020 U.S. Soybean Condition Declines 3% 8% Dropping Leaves,2020 U.S. Corn Crop Declines 2% G/E Soybeans Decline 3% G/E,Brazil Backtracks on Suspension of Tariffs for Imported Grain,If Needed Brazil will temporarily suspend Tariffs on Soy Corn Rice,"3,2",0,-1
2020-09-11,2020/21 Argentina Corn 15.4% Planted 20.8% Average,Corn Prices in Southern Brazil hit R$ 70.00 per sack ($5.80 per bu.),Soybean Oil Prices in Brazil Record High Carryover Record Low,"""Northern Arc"" of Ports Increase Share of Brazil's Grain Exports",Corn Prices in Mato Grosso continue to Set Record Highs,2020 U.S. Corn 15% Harvested Soybeans 20% Harvested,2020 U.S. Corn Condition 61% G/E 8% Harvested,2020 U.S. Corn Condition Improves 1% G/E Soybeans Unchanged,U.S. Registers Sale of 30000 Tons of Rice to Brazil,2020 U.S. Corn Yield Estimated at 176.0 bu/ac,"3,42",1,1
2020-10-08,2020/21 Argentina Corn 30% Planted Soybeans 2-3% Planted,Soybean and Corn Prices Continue to Set Records in Brazil,Completion of BR-163 Lowers Freight Costs out of Mato Grosso,2020/21 Argentina Corn 28% Planted Soybeans 1-2% Planted,Spot Prices for Soy and Corn Continue to Set Records in Mato Grosso,Full-Season Corn in Southern Brazil off to a Somewhat Dry Start,Domestic Corn Prices in Brazil Approach Parity with Imported Corn,2020/21 Argentina Corn 24% Planted Soybeans 1-2% Planted,2020/21 Brazil Corn 47.2% Planted vs. 54.1% Average,Brazil Set to Suspend Import Tariffs on Soybeans and Corn,"3,73",1,1
2020-11-10,Rainfall Helps Stabilize Full-Season Corn in Southern Brazil,600 Trucks Carrying Paraguay Soy and Corn Waiting to Enter Brazil,After Record Highs Soybean Prices Declining in Brazil,Soybean and Corn Prices Decline in Mato Grosso Brazil,2020/21 Brazil Full-Season Corn Impacted by Dry Weather,2020/21 Argentina Corn 32% Planted vs. 46% Last Year,Higher Corn Prices in Brazil could Compensate for Lower Yields,Argentina Farmers Continue to be Slow Sellers of their 2019/20 Soy,Parana Soybeans 92% Planted Full-Season Corn 98% Planted,Dryness Worries Soy Farmers in Argentina Forward Sales very Slow,"4,04",1,1
2020-12-10,Grain Inspectors Selectively Strike Exporters in Argentina,Argentina Suspends Corn Exports Until at Least March,2020/21 Argentina Corn Only 61% Planted vs. 80% Average,Early Weather Concerns Impact Soybean Production in Mato Grosso,Farmers in Southern Brazil Completing Full-Season Corn Planting,Brazil's Biodiesel will Increase to 13% Vegetable Oil in March 2021,More of Mato Grosso's Corn being Consumed Internally,Imea Estimates 14% of Mato Grosso's Corn will be Planted Late,2020/21 Brazil Full-Season Corn Impacted by Dry Weather,2020/21 Argentina Corn 47% Planted 24% Rated Good/Excellent,"4,21",1,1
