Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3
2014-01-10,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacts Soybean Yields in Goias,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Brazil Soy Farmers Generally Successful Controlling Insects ,Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,Northern Export Routes being developed for Brazilian Soybeans,Soybean Harvest Underway in Brazil's two Top Producing States,Reaction to Last Week's USDA Reports,"13,12",0,0
2014-02-10,Dryer Weather Allows Advance of Brazil Soybean Harvest,Safrinha Soybeans Increase Nematode Populations,Secretary of Agriculture Downgrades Parana's Soy Estimate,High Humidity Causes Problems for Brazilian Soybean Harvest,"More Traffic Woes for Brazil's ""Soybean Highway""",Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Conab Trims Brazilian Soybean Estimate,?,?,?,"12,97",0,-1
2014-03-10,Argentine Farmers still holding over 7 Million Tons of Soybeans,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Brazil on track for Record Soybean Exports,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Wheat Production May Move into Central Brazil,Argentine Farmers Still Hold 5 mt of Last Year's Soybean Crop,Brazil Soybean Exports off to a Faster Start than Last Year,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road","13,77",1,1
2014-04-09,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Amazon River Route Inaugurated for Brazilian Soybean Exports,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,Wheat Production in Argentina and Brazil could Rebound in 2014,"""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,"14,32",1,1
2014-05-09,El Nino could Favor Soybean and Corn Production in Brazil,Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"14,85",1,1
2014-06-11,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Economic Uncertainty in Argentina make Farmers slow Sellers,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Wheat Production Increasing in Brazil's Cerrado Region,Port of Santos Struggles while Paranagua Exports Record Soy,"14,84",0,0
2014-07-11,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,90-day Soybean Free Period helps to Control Spread of Rust in Brazil,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Rain in Mato Grosso Complicates Soybean Eradication Efforts,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"13,67",0,-1
2014-08-12,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans,Farmers in Parana Brazil Opt for More Soybean Production,Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel,Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs,Cost of Production Estimates for 2013/14 Growing Season in Brazil,SDS and Cloudy Weather Potential Impact on Soybean Production,Farmers in Northern Parana switching Full-season Corn to Soybeans,Pasture Conversions Source of New Soy Acreage in Central Brazil,Sugarcane Production Estimates in Brazil Continue to Move Lower,Brazilian Sugar Mills Generate Revenue by Selling Excess Electricity,"11,56",0,-1
2014-09-11,Some Brazilian Soybean Producers may lose Money in 2014/15,Wet Weather Increases Concerns for Wheat in Southern Brazil,Full-Season Cotton in Brazil moved to Safrinha Replaced by Soy,Brazil's Poultry Exports Increased by Larger Volumes to Russia,Brazilian Wheat Producers are Pessimistic about Price and Quality,Lack of Uniformity in Maturing Soy Worries Brazilian Processors,Wet Weather Increases Disease Pressure in Brazilian Wheat,Low Prices Convince Brazilians to Hold Onto Their Corn,2014/15 Soybean Planting off to a Fast Start in Brazil,Live Rust Spores Found on Volunteer Soybeans in Mato Grosso,"10,69",0,-1
2014-10-10,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso,Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase,Brazilian Farmers Planting Soybeans at Half the Average Pace,Brazil's Soybeans being Planting at Half the Normal Pace,Argentine Soybean and Corn Acreage is Point of Disagreement,Extension of Soybean-Free Period in Mato Grosso Meets Resistance,Corn-Based Ethanol on the Increase in the Center-West of Brazil,Soy Planting in Mato Grosso Slowed due to Hot and Dry Conditions,Soybean Planting in Northern Parana halted by Dry Conditions,Imports Account for 75% of Fertilizer Sales in Brazil,"9,45",0,-1
2014-11-10,Argentine Farmers may be Denied Credit due to Lack of Soy Sales,Agricultural Equipment Sales in Brazil down 16%,Farmers in Parana Wrapping up Corn and Soybean Planting,Mato Grosso do Sul has Storage for only 60% of its Grain Production,Restrictions on Safrinha Soy may be modified for Seed Producers,Low Prices and high Costs Lowers Enthusiasm for Safrinha Corn,Soybean Moratorium in Amazon Region Extended until May of 2016,Soybeans Gain Acreage from Sugarcane in Sao Paulo Brazil,Argentine Farmers continue to be Slow Sellers of their Grain,Most Soy Planting in Parana Should be Completed within a Week,"9,91",1,1
2014-12-10,Early 2014/15 Soybean Yields in Brazil are Variable,Brazilian Scientists feel Safrinha Soybean Production Unstainable,Brazilian State of Rondonia expands Soybean Acreage by 26%,Early Soybean Harvest getting underway in Brazil,Soybeans Increase their Dominance of First Crop Planting in Brazil,Early Soybean Harvest started in Mato Grosso before Christmas,Cotton Acreage to decline 12% in Mato Grosso,Peak of Soy Harvest in Mato Grosso will be Feb 15th to March 7th,Soybeans to Occupy 73% of the Cropland in Western Bahia,Ranchers in Mato Grosso do Sul combining Cattle and Soybean Production,"10,3",1,1
2015-01-12,Brazil Soybean Harvest is 10% Complete,254 Cases of Soybean Rust in Brazil Slight Increase over Last Week,Dryness in Brazil Encourages Fast Soy Harvest Slow Corn Planting,6% of Mato Grosso's Soybeans lost Pre and Post-Harvest,Soybean Looper Numbers Highest in 10 years in Southern Brazil,Brazilian Ports Increase Capacity to Accommodate Larger Soy Crop,Early Soybean Harvest in Mato Grosso off to Surprisingly Fast Start,First Vessel Loading Soybeans at Port of Paranagua,Farmers in Mato Grosso have sold 45% of their Soy Sales Slowing,Brazilian Farmers Confronting Increased Pest Pressures,"10,38",0,0
2015-02-10,Soybean Yields in Mato Grosso have Stagnated over the last 15 Years,Record Breaking Soybean Crop Expected in Rio Grande do Sul,Rio Grande do Sul Registers Most Cases of Soybean Rust in Brazil,Grain Trucks Blockaded in Mato Grosso to Protest High Fuel Prices,Mato Grosso Farmers free to Plant Safrinha Soy this Growing Season,2014/15 Brazil Soybean Harvest Slower than Last Two Years,"Work Started on Improving Brazil's ""Soybean Highway""",Brazilian Farmers have Sold 38% of their Soybeans vs 54% Average,Conab Lowers 2014/15 Brazilian Soy Estimate in February Report,Soy-Free Dates in Mato Grosso set from May 1st to September 15th,"9,82",0,-1
2015-03-10,Farmers in Paraguay increased their Safrinha Soybean Acreage,Soybean Harvest in Mato Grosso Nearing Completion,Weak Currency Stimulates 2014/15 and 2015/16 Soy Sales in Brazil,Paraguay Farmers are First and Last to Harvest Soy in S. America,"""Plant Your Future"" reduced Insecticide use on Soybeans by 50%",Soybean Production continues to expand in Northeastern Brazil,Interest Rates on Agricultural Production Loans to Increase in Brazil,Brazil Soybeans 61% Harvested Argentine Soybeans 2% Harvested,2015 U.S. Crop Acreage - 89 mac of Corn and 85-86 mac of Soybeans,Vessel Lineup in Brazil for Soybeans Larger than last Year,10,1,1
2015-04-09,Corn prices fall in southern Goias,State of Tocantins in NE Brazil is emerging Soybean Producer,Soybean Farmers in Uruguay facing tight or nonexistent Margins,Brazilian Soy Producers Face Higher Fertilizer and Fuel Costs,Record Production Resulting in Mountains of Soybeans in Argentina,Volunteer Corn Becoming more of a Problem in Brazilian Soy Fields,Argentine Farmers will probably be Slow Sellers of their 2014/15 Soy,Cotton Acreage and Production to Decline in Brazil,White Flies becoming a Problem for Soybean Producers in Bahia,Farmers Disappointed with Soy Hoping for Better Safrinha Corn,"9,76",0,-1
2015-05-12,Mato Grosso Debating 9% Export Tax on Soybeans and Corn,Brazil's Harvest Plan Barely keeps pace with Inflation and Costs,Soybean-Free Period to Start in Mato Grosso on June 1st,Forward Selling of Corn in Brazil Remains Slow,U.S. Corn and Soybean Planting Continue ahead of the Average Pace,Amount of Soybeans Barged down Madeira River Increasing,Ag Cooperatives in Rio Grande do Sul Increase Market Share,Soybeans in Brazil will start to Flow like the Water - Down River,Mato Grosso Corn Farmers have good Yields and Low Prices,Increase in Minimum Wheat Price not enough say Brazilian Farmers,"9,72",0,0
2015-06-10,June Acreage Report Overestimates Harvested Acreage,Trip Report - Indiana and Ohio,Corn Condition Improves Slightly Soybean Condition Holds Steady,Brazilian Farmers have Sold 17% of their 2015/16 Soy Production,Brazil sets new Monthly Record for Soybean and Poultry Exports,Brazilian Farmers seen as Increasing Soy Acreage 1%-5% in 2015/16,Trip Report - Illinois Iowa Missouri,U.S. Crop Conditions Decline again due to Wetness,Chemicals used to Control Soy Rust in Brazil losing Effectiveness,Parana may Follow M. Grosso in Limiting Safrinha Soy Production,"9,41",0,-1
2015-07-10,Corn price in Mato Grosso improve due to Weaker Currency,Soybeans Enters Second Century of Production in Rio Grande do Sul,"Brazil's ""Soybean Highway"" Frustrates Farmers in Mato Grosso",U.S. Corn Condition Unchanged Soybean Condition Up Slightly,Corn-Based Ethanol Production Promoted in Mato Grosso,Corn Condition Improves Slightly Soybean Condition Unchanged,Survey for August Crop Report now Underway,Brazilian Currency Devalued 4.79% Last Week Lifting Soy Prices,Soaring Electricity Costs Impacting Brazilian Agriculture,Trip Report - Illinois ,"9,89",1,1
2015-08-12,Farmers in Mato Grosso do Sul have sold 27% of 2015/16 Soy Crop,Cotton Acreage in Mato Grosso to Increase 2%,Dry Beans in Brazil losing Acreage to Soybeans,Month-By-Month Crop Production Cycle in Brazil,Brazil's 2015 Soybean Exports have already Surpassed all of 2014,U.S. Crop Conditions Hold Steady or Decline Slightly,Grain Production in Brazil Increasing Faster than Storage Space,Wheat Production in South America Encountering Obstacles,Input Sales in Mato Grosso Brazil Continue to Lag Last Year,Paranagua Grain Exports to increase 71% over next 3 months,"9,92",0,0
2015-09-11,Parana follows Mato Grosso in Prohibiting Safrinha Soy Production,Southwestern Parana has most Advanced Soybean Planting in Brazil,State of Parana Leads Early Soybean Planting in Brazil,2015/16 Soybean Crop in Brazil 2-3% Planted,Frost and Wet Weather Result in Lower Brazilian Wheat Production,Timid Soybean Planting Pace in Mato Grosso New Regulations,Most Advanced Soybean Planting in Brazil is in the State of Parana,Parana to follow Mato Grosso and Prohibit Safrinha Soy Production,Brazilians Forward Selling Encouraged by Weaker Currency,Producing Soy and Corn in Brazil Costs More due to Weak Currency,"8,94",0,-1
2015-10-09,Improved Rainfall aids Brazil Soybean Planting Progress,Soy Producers Want Rail Link from Mato Grosso to Amazon River,Soybean Industry Promoting more Biodiesel use in Brazil,Brazil Looking for Farmers Who Can Produce 124 bu/ac Soybeans,Brazil's Corn Exports Ramp up as Soybean Exports Wind Down,Soybean Planting Passes Half Way Mark in Parana,Brazil Soybean Planting Progress Depends on Location,Mato Grosso Farmers Must Now Register Their Soybean Production,Brazilian Soybean Producers at Disadvantage due to High Freight,Soybean Planting Slowed by Dry Weather in Central Brazil,"8,8",0,-1
2015-11-10,Port of Paranagua Increases Grain Exports despite Excess Rainfall,Wetness and Soybean Rust Worries Farmers in Rio Grande do Sul,Mato Grosso Expected to Double Corn Production in Ten Years,Rio Grande do Sul Reports Most Cases of Soybean Rust in Brazil,Freight Costs in Mato Grosso Increase due to New Tolls,Delayed Rains Offers Opportunity to Plant Soy in Central Brazil,Cotton Third Most Important Crop in Mato Grosso after Soy Corn,Irregular Rainfall in Mato Grosso Worries Soybean Producers,Soybean Rust Moving into Commercial Soybean Fields in Brazil,Brazil Soybeans 60% Planted Behind Average of 71%,"8,89",1,1
2015-12-09,Slow Start to Soy Harvest in Mato Grosso 1st Case of Rust Confirmed,Early Soybean Harvest Underway in Select Areas of Brazil,Weaker Currency Buoys Domestic Commodity Prices in Brazil,Brazil Farmers Waiting Until Harvest Complete to Continue Selling,Farmers in Piaui ask for Waver to Plant Soybeans Later than Normal,Imea Rates 43% of Mato Grosso's Soybeans as Poor to Very Poor,Northern Arc of Ports in Brazil Increase Grain Exports by 50%,Farms in Brazil Want Deadline for Soy Planting Extended 30 Days,Soybeans in Mato Grosso under Moisture Stress,Agricultural Chemical Sales in Brazil Decline 23% in 2015,"8,72",0,-1
2016-01-12,Conab Lowers Brazilian Soybean Estimate Increases Corn Estimate,Minister of Agriculture asked to Step up Efforts to Control Soy Rust,Brazil Soybean Harvest 4% Two Points Behind Last Year,Corn Prices in Rio Grande do Sul are 45% Higher than Last Year,30% of the Soybeans in Mato Grosso Rated Poor to Very Poor,Brazil Soybean Harvest Starts Slowly with 1.5% Harvested,Brazil to Sell Corn Stocks to ease Shortages in Southern Brazil,Wet Weather Slows Soy Harvest in Mato Grosso Poor Seed Quality,Record Exports from Paranagua no Soybeans have arrived as Yet,Freight Rates Increase due to Devalued Brazilian Currency,"8,71",0,0
2016-02-09,High Corn Prices Reduce Buying Power of Poultry Producers,Record Corn Exports result in Strong Domestic Corn Prices in Brazil,Farmers in Central Brazil face Higher Freight Costs and New Tolls,Soy in NE Brazil Continue to Suffer Under Hot and Dry Conditions,Tolls as High as $1.00 per Bushel for Soybeans Leaving Mato Grosso,Brazil Could Double Soybean Production in Cerrado Area,Livestock producers in Santa Catarina want Relief from high Corn Prices,Large Lineup of Vessel in Brazil Waiting for Soybeans,Goias Soybeans 40% Harvested with an Average Yield of 47.8 bu/ac,Parana Soybeans 41% Harvested Safrinha Corn 60% Planted,"8,77",0,0
2016-03-09,Domestic Corn Prices in Brazil Continue Strong,Brazil and Argentina increase use of Biofuels,U.S. Corn Acreage may be lower than Prospective Plantings Report,More of Mato Grosso's Soybeans Exported out of Amazon River,Harvest in Mato Grosso 92% Complete More Soybeans Move North,Brazil's Wheat Production could Increase in Spite of Lower Acreage,Mato Grosso Shipping Equivalent of One Vessel of Soybeans per Day,Costs Increasing in Brazil Farmers Purchasing Inputs for Next Year,Brazilian Soybean Crop 67% Harvested 2% behind Last Year,Tight Supplies Result in Record High Corn Prices in Southern Brazil,"8,71",0,0
2016-04-12,Wheat Production to Increase in Argentina Decrease in Brazil,Argentina Lost 7.5% of its Soybean Acreage to Flooding,Estimates for Brazil's Safrinha Corn Continue to Decline,2015/16 Argentine Soybeans Lowered 1.0 mt to 56.0 Million Tons,Wheat Acreage in Parana Continues to Decline,Flooding Causes Extensive Damage to Argentine Soybean Crop,2015/16 Uruguay Soybean Estimate Lowered 0.5 mt to 2.5 Million,2016/17 South American Soybean Crop could face Hurdles,2015/16 South American Soybean Production now Below Last Year,2015/16 Will be Last Safrinha Soybean Crop in Parana,"9,06",1,1
2016-05-10,Domestic Soybean Prices Surge in Brazil,Estimates of the Safrinha Corn Crop in Brazil Continue to Decline,Soybean Prices at Brazilian Ports could hit R$ 100 Per Sack,U.S. Corn Planting 94% Soy 73% Both Slightly Ahead of Average,Trip Report - Indiana and Western Ohio,Initial 2016 U.S. Corn Production Estimate - 14.0 Billion Bushels,Initial 2016 U.S. Soybean Production Estimate - 3.88 Billion Bushels,Conab Indicated Brazil's Corn and Soy Exports need to Slow Down,"Strong Corn Prices in Brazil could result in ""Washouts"" in late 2016",Brazil's Cotton Production to Decline 7.8% and Probably More,"10,01",1,1
2016-06-10,Corn Prices in Brazil Remain Strong due to Lower Production,2016 U.S. Crop Conditions - Corn Steady Soybeans down 2%,Brazilian Soybean Exports Strong Corn Exports Decline,Cost of Controlling White Flies Surging in Brazil,2016 U.S. Crop Conditions - Corn Steady Soybeans down Slightly,Report Concerning Cost of Production in North & South America,Safrinha Corn Situation in Mato Grosso continues to Decline,Livestock Producers in Brazil Relieved that Corn Prices are Falling,Brazilian Farmers Continue to Report Disappointing Corn Yields,U.S. Corn Condition holds Steady Soybeans Decline Slightly,"10,96",1,1
2016-07-12,Freight Rates Decline in Brazil due to Excess Capacity,Brazil's Soybean Acreage to Expand 1.5% in 2016/17,U.S. Corn Condition Declines 2% Soybeans Unchanged,Domestic Corn Prices in Brazil continue to Surge Higher,Dry Weather results in Increase in Fires in Central Brazil,Domestic Corn Prices in Brazil increased 8% Last Week,Brazilian Government tries to limit Corn Price Increases,Frost in Western Parana could Impact Wheat Production,Trip Report - Western Corn Belt,Argentine Government Wavering on Reduction of Soy Export Tax,"11,33",1,1
2016-08-12,Tolls Increase in Brazil Farmers could Pay $ 0.90 per/bu Just in Tolls,Mato Grosso Legislator Promotes Increased use of Irrigation,U.S. Corn Condition Declines Slightly Soybeans hold Steady,Conab Lowers Brazilian Corn Production 1.5 mt in Sept. Report,Brazilian Poultry and Hog Producers React to Higher Corn Prices,Brazil May Need to Import Corn Soybeans Soy Meal and Cotton!,Cost of Producing Soy in Mato Grosso do Sul to increase 11%-12.5%,New Soybean Planting and Harvesting Calendar in Mato Grosso,U.S. Corn Condition Improves Slightly Soybean Condition Steady,Growing Season for Soybeans in far Northern Brazil Same as U.S.,"10,2",0,-1
2016-09-12,Brazilian Cotton Production to Rebound from Disappointing 2015/16,2016/17 Brazil Soybean Estimate - 101.8 - 104.0 mt up 6.7% to 9.0%,Farmers in Mato Grosso do Sul have Planted 5.4% of their Soybeans,Price of Wheat in Parana below Government Minimum,Confirmation of Soybean Rust Puts Brazilian Farmers on Alert,Argentina Will Not Lower Soybean Export Tax Another 5%,Brazilian Scientists Find Rust Resistant Gene in Wild Soy Variety,Reduced Corn Production in Brazil resulting in Lower Freight Rates,Increased Pork Exports helps Brazilian Hog Producers,South American Crop Production vs. the United States,"9,94",0,-1
2016-10-12,Soybean Planting in Brazil 52% vs. Average of 49%,Forward Selling of Soy and Corn in Brazil Slower than Last Year,Early Soy Planting Allows Early Safrinha Corn Planting in Parana,2016/17 Brazil Soybeans 41% Planted Slightly Ahead of Average,Brazil Levies Fines for Illegal Grain Production in Amazon Region,"Brazilian Farmers Planting Soybeans ""Day and Night""",Export Tax Plan in Argentina could Result in Slow Farmer Selling,Soy Export Tax Reduction will have Limited Impact in Argentina,Export Tax Plan in Argentina could Result in Slow Farmer Selling,Soybean Moratorium Limits Deforestation in the Brazilian Amazon,"9,59",0,-1
2016-11-09,Six Confirmed Cases of Rust in Commercial Soybean Fields in Brazil,Brazil Soybean Planting 90% Complete,In Brazil - Weaker Currency Political Unrest Declining Corn Prices,Brazil to Expand Biodiesel Production over Next Few Years,Brazilian Commission Reviews Chemicals for Soybean Rust Control,Conventional Soybeans Promoted in Recent Meeting in Mato Grosso,2016/17 Brazil Soybean Planting Three Quarters Complete,Argentina Planting - Soy Slower than Average Corn Much Slower,First Cases of Rust Confirmed on Commercial Soybeans in Brazil,Brazilian Planting Progress - Soybeans Three Quarters Planted,"9,88",1,1
2016-12-09,Conab Increases Brazil Crop Estimates Survey Several Weeks Old,Soybeans in Central and Eastern Brazil impacted by Dry Weather,Argentine Farmers confront Floods and Drought Soy Impacted,Grain Exchange lowers Argentina Soy Acreage 300000 Hectares,Brazilian Farmers have only Sold 34% of their Anticipated Soybeans,Early Soybean Harvest Starting in Mato Grosso,Argentina Soybean Crop Disrupted by Adverse Weather,Soy Export Tax in Argentina will Decline starting in January 2018,Crop Insurance in Brazil Covers only 15% of Crop Production,Last Day to Plant Soy in Mato Grosso is Saturday December 31st,"10,19",1,1
2017-01-12,Farmers in Parana are Anxious to get Early Soy Harvest Underway,Dryer Weather Stabilizes Soybean Crop in Argentina,Farmers in Paraguay Expecting Mixed Results from their Soybeans,Trip Report - Mato Grosso and Central Brazil,Mato Grosso Soybean Harvest Slowed by Rain for Second Week,Rains Lighten but some Damage done to Mato Grosso Soybeans,Brazilian Trip Report - Goias and Southeastern Mato Grosso,Soy Production in Paraguay and Uruguay could set Record Highs,Corn Prices in Brazil under Pressure from Increased Production,Early Soybean and Corn Harvest about to get Underway in Parana,"10,13",0,0
2017-02-09,Soy Crop in Paraguay 75% Harvested Safrinha Planting Underway,Brazil Exports Record Soy in February but Below Expectations,Biodiesel Blend in Brazil Increased from B7 to B8 could go to B15,Brazilian Farmers are Slow Sellers of their 2016/17 Soybeans,Barges on Amazon Running Out of Soybeans - Problems on BR-163,Crop Insurance Covers 4.4% of Grain Production in Mato Grosso,Brazilian Farmers Increase Fertilizer Purchases,Paraguay Farmers Expecting a Good 2016/17 Soybean Crop,Mexico to Import more Corn and Soy from Brazil and Argentina,2016/17 Brazil Soybeans 26% Harvested,"10,49",1,1
2017-03-09,Brazilian Soybean Prices Slumping Farmers Remain Slow Sellers,Cattle Prices Decline in Brazil as Processors Slow Production,Brazilian Farmers are Slow Sellers Hoping for Higher Soybean Prices,Reaction to USDA 2017 Prospective Plantings Report,Last Soybeans Harvested in Brazil could push Estimates Higher,Brazilian Soybean Crop 45% Sold Compared to 65% Last Year,Soy in Northern Tocantins Brazil 50% Harvested Yields are Good,Corn Prices in Mato Grosso Slump to Breakeven or Below,Prospective Planting Report to be released at end of the Week,Early Soybean Yields in Argentina are Positive,"10,36",0,-1
2017-04-11,Brazilian Farmers Continue to be Slow Sellers of 2016/17 Soy Crop,2017/18 Soybean Acreage in Brazil Unchanged or Up Only Slightly,Brazil Paraguay Bolivia to Coordinate Efforts to Combat Soy Rust,2017 Wheat Acreage in Parana to Decline 8-10%,Soybean Harvesting must end by Friday May 5th in Mato Grosso,Impact of Soybean Moratorium on Land Use in Mato Grosso,2016/17 Soybean and Full-season Corn Yields set Records in Parana,Some Corn and Soy Replant needed Wheat Impacted as Well,Much of Mato Grosso's Corn Production will be Piled Outside,Brazil Gov. to Subsidize Corn Prices in Mato Grosso this Week,"9,76",0,-1
2017-05-10,Decline of JBS to create Openings for Small and Medium Processors,Fertilizer Deliveries in Brazil Decline during First Trimester of 2017,Conventional Soy Production in Mato Grosso to increase in 2017/18,Safrinha Corn Harvest begins in Brazil and Corn Prices Decline,Low Grain Prices Challenge Brazilian Farmers,Trip Report - Eastern Illinois and Western Indiana,New Organization to Promote Conventional Soy Production in Brazil,Nearly 70% of Brazil's Grain Production is in Four States,Weaker Brazilian Currency could Encourage Soybean Sales,Popcorn Acreage Rebounds Mato Grosso Leads Brazil's Production,"9,58",0,-1
